state,account_length,area_code,number_vmail_messages,customer_service_calls,churn,international_plan_total,voice_mail_plan_total,total_calls,total_charges,total_minutes
KS,128,415,25,1,0,1.0,1.0,303,75.56,717.2
OH,107,415,26,1,0,1.0,1.0,332,59.24000000000001,625.2
NJ,137,415,0,0,0,1.0,1.0,333,62.290000000000006,539.4000000000001
OH,84,408,0,2,0,1.0,1.0,255,66.8,564.8
OK,75,415,0,3,0,1.0,1.0,359,52.089999999999996,512.0
AL,118,510,0,0,0,1.0,1.0,323,67.61,654.1999999999999
MA,121,510,24,3,0,1.0,1.0,321,78.31,786.8000000000001
MO,147,415,0,0,0,1.0,1.0,275,46.900000000000006,479.00000000000006
LA,117,408,0,1,0,1.0,1.0,271,73.32,760.6000000000001
WV,141,415,37,0,0,1.0,1.0,297,80.53999999999999,818.2
IN,65,415,0,4,1,1.0,1.0,337,54.2,579.1000000000001
RI,74,415,0,0,0,1.0,1.0,374,57.08,556.2
IA,168,408,0,1,0,1.0,1.0,297,40.190000000000005,386.0
MT,95,510,0,3,0,1.0,1.0,283,59.64,608.8
IA,62,415,0,4,0,1.0,1.0,251,59.309999999999995,644.0
NY,161,415,0,4,1,1.0,1.0,301,92.29,816.7
ID,85,408,27,1,0,1.0,1.0,308,65.02,580.3999999999999
VT,93,510,0,3,0,1.0,1.0,349,58.989999999999995,546.6
VA,76,510,33,1,0,1.0,1.0,244,60.50000000000001,578.2
TX,73,415,0,1,0,1.0,1.0,254,63.9,589.7
FL,147,415,0,0,0,1.0,1.0,347,59.0,614.1999999999999
CO,77,408,0,5,1,1.0,1.0,280,36.019999999999996,447.59999999999997
AZ,130,415,0,0,0,1.0,1.0,308,48.06,447.20000000000005
SC,111,415,0,2,0,1.0,1.0,316,41.05,445.0
VA,132,510,0,0,0,1.0,1.0,275,48.08,573.5999999999999
NE,174,415,0,3,0,1.0,1.0,308,60.15,667.6
WY,57,408,39,0,0,1.0,1.0,345,63.24,596.3
MT,54,408,0,3,0,1.0,1.0,245,44.61,406.59999999999997
MO,20,415,0,0,0,1.0,1.0,301,64.12,636.0
HI,49,510,0,1,0,1.0,1.0,317,49.6,524.1999999999999
IL,142,415,0,2,0,1.0,1.0,312,41.14,486.2
NH,75,510,0,1,0,1.0,1.0,315,69.42999999999999,684.0999999999999
LA,172,408,0,3,0,1.0,1.0,324,55.29,549.1
AZ,12,408,0,1,1,1.0,1.0,330,79.67999999999999,794.0
OK,57,408,25,0,0,1.0,1.0,289,58.49,593.5999999999999
GA,72,415,37,3,0,1.0,1.0,259,66.72,604.8000000000001
AK,36,408,30,0,0,1.0,1.0,323,48.42,452.6
MA,78,415,0,1,0,1.0,1.0,293,54.2,592.3
AK,136,415,33,3,0,1.0,1.0,318,58.03,503.7
NJ,149,408,0,1,0,1.0,1.0,303,58.44,611.6
GA,98,408,0,3,0,1.0,1.0,324,46.63999999999999,490.3
MD,135,408,41,0,1,1.0,1.0,285,56.199999999999996,513.8
AR,34,510,0,2,0,1.0,1.0,262,61.92999999999999,728.5
ID,160,415,0,3,0,1.0,1.0,283,39.15,438.8
WI,64,510,0,1,0,1.0,1.0,274,58.260000000000005,648.6
OR,59,408,28,2,0,1.0,1.0,310,48.3,505.5
MI,65,415,0,3,0,1.0,1.0,365,59.36000000000001,521.8
DE,142,408,0,2,0,1.0,1.0,339,56.129999999999995,571.1999999999999
ID,119,415,0,5,1,1.0,1.0,325,55.53,542.3999999999999
WY,97,415,24,1,0,1.0,1.0,275,47.25,432.0
IA,52,408,0,3,0,1.0,1.0,296,68.32,706.3
IN,60,408,0,1,0,1.0,1.0,304,68.49000000000001,687.5
VA,10,408,0,2,0,1.0,1.0,241,63.620000000000005,670.4999999999999
UT,96,415,0,2,0,1.0,1.0,257,62.76,665.5
WY,87,415,0,5,1,1.0,1.0,329,56.14,584.3000000000001
IN,81,408,0,1,0,1.0,1.0,253,65.94,705.2
CO,141,415,0,1,0,1.0,1.0,290,45.370000000000005,455.7
CO,121,408,30,3,1,1.0,1.0,286,49.849999999999994,460.7
WI,68,415,0,3,0,1.0,1.0,340,55.36000000000001,537.2
OK,125,408,0,1,0,1.0,1.0,332,65.82,608.0
ID,174,408,0,1,0,1.0,1.0,249,57.67999999999999,540.0
CA,116,415,34,2,0,1.0,1.0,334,71.41999999999999,624.7
MN,74,510,33,2,0,1.0,1.0,282,64.0,592.4
SD,149,408,28,3,0,1.0,1.0,212,62.029999999999994,646.6
NC,38,408,0,2,0,1.0,1.0,307,45.51,461.3
WA,40,415,41,2,0,1.0,1.0,269,50.89000000000001,537.9000000000001
WY,43,415,0,0,0,1.0,1.0,280,70.46,631.4
MN,113,408,0,0,0,1.0,1.0,359,46.88,469.20000000000005
UT,126,408,0,1,0,1.0,1.0,211,63.42999999999999,589.8
TX,150,510,0,4,1,1.0,1.0,314,55.199999999999996,510.40000000000003
NJ,138,408,0,3,0,1.0,1.0,287,72.08,719.4
MN,162,510,46,0,0,1.0,1.0,244,68.96,679.8000000000001
NM,147,510,0,3,0,1.0,1.0,281,64.84,578.0
NV,90,415,0,1,0,1.0,1.0,372,62.67999999999999,589.8
HI,85,415,0,0,0,1.0,1.0,305,65.16,593.2
MN,50,415,0,1,0,1.0,1.0,275,55.49999999999999,567.9
DC,82,415,0,0,1,1.0,1.0,286,81.75,763.1000000000001
NY,144,408,0,4,1,1.0,1.0,308,27.02,319.9
MN,46,415,0,2,0,1.0,1.0,292,60.57,564.2
MD,70,408,0,1,0,1.0,1.0,278,56.459999999999994,569.0
WV,144,415,0,1,0,1.0,1.0,294,73.63,741.8000000000001
OR,116,415,0,3,0,1.0,1.0,297,69.96000000000001,711.3000000000001
CO,55,408,25,3,0,1.0,1.0,310,50.599999999999994,488.4
GA,70,415,24,1,0,1.0,1.0,271,77.16000000000001,741.6999999999999
TX,106,510,0,2,1,1.0,1.0,270,68.94,663.5999999999999
VT,128,510,29,0,0,1.0,1.0,275,66.53999999999999,736.8000000000001
IN,94,408,0,4,1,1.0,1.0,295,50.709999999999994,510.5
WV,111,510,0,1,0,1.0,1.0,294,65.6,617.2
KY,74,415,35,2,0,1.0,1.0,254,48.72,490.5
NJ,128,415,0,1,1,1.0,1.0,290,74.64,708.3
DC,82,510,0,1,0,1.0,1.0,262,48.96,459.5
LA,155,415,0,0,1,1.0,1.0,327,62.03,599.1999999999999
AR,80,415,0,1,0,1.0,1.0,278,49.36000000000001,558.4
ME,78,415,0,3,0,1.0,1.0,317,72.6,704.7
AZ,90,415,0,3,0,1.0,1.0,250,55.26,508.0
AK,104,408,0,1,0,1.0,1.0,361,64.21000000000001,532.3999999999999
MT,73,415,0,0,0,1.0,1.0,258,56.68999999999999,560.5
AZ,99,415,0,4,0,1.0,1.0,279,62.25000000000001,605.1
MS,120,408,0,1,1,1.0,1.0,336,62.809999999999995,594.0
ID,77,415,0,2,1,1.0,1.0,314,75.32000000000001,742.5
IA,98,510,21,4,0,1.0,1.0,297,57.24,577.9999999999999
MA,108,415,0,0,0,1.0,1.0,320,56.129999999999995,511.0
VT,135,415,0,0,0,1.0,1.0,293,46.849999999999994,461.2
KY,95,408,0,1,0,1.0,1.0,316,52.980000000000004,576.4000000000001
IN,122,408,0,1,0,1.0,1.0,280,57.989999999999995,604.0999999999999
AZ,95,408,0,4,0,1.0,1.0,282,68.13,627.0999999999999
MI,36,510,29,2,0,1.0,1.0,297,75.88000000000001,679.8
NM,93,510,21,1,0,1.0,1.0,335,46.42999999999999,509.2
CO,141,415,32,1,0,1.0,1.0,331,49.0,509.20000000000005
UT,157,408,0,3,0,1.0,1.0,326,65.09,628.7
MI,120,408,0,1,0,1.0,1.0,277,62.61000000000001,609.6999999999999
MA,103,415,0,2,0,1.0,1.0,304,63.86,643.7
AL,98,408,0,4,0,1.0,1.0,347,57.120000000000005,591.6999999999999
DE,125,408,0,1,0,1.0,1.0,319,53.78999999999999,593.8
AZ,63,415,0,1,0,1.0,1.0,275,36.48,449.29999999999995
ME,36,510,42,0,1,1.0,1.0,343,66.75,610.0
NJ,64,510,0,1,0,1.0,1.0,317,47.010000000000005,386.59999999999997
NV,74,415,0,1,1,1.0,1.0,281,76.91000000000001,681.8
MO,112,510,36,2,0,1.0,1.0,320,43.410000000000004,458.79999999999995
ID,97,408,0,2,0,1.0,1.0,322,67.83,606.6000000000001
NE,46,408,0,1,0,1.0,1.0,292,67.59,650.7
TX,41,408,22,0,0,1.0,1.0,314,56.74,505.0
MD,121,510,0,3,0,1.0,1.0,327,60.61,604.8
MS,193,415,0,1,0,1.0,1.0,311,48.51,427.70000000000005
NV,130,510,0,2,0,1.0,1.0,339,48.29,500.99999999999994
AZ,85,408,0,1,0,1.0,1.0,265,68.33999999999999,695.3
MS,162,415,0,4,1,1.0,1.0,280,34.84,392.1
MS,61,510,27,4,1,1.0,1.0,362,56.23,566.1999999999999
TX,92,408,0,2,0,1.0,1.0,303,42.41,469.59999999999997
NE,131,408,36,3,0,1.0,1.0,338,64.63,650.0999999999999
NE,90,415,0,3,0,1.0,1.0,331,52.78999999999999,521.0
CA,75,408,0,1,0,1.0,1.0,296,54.919999999999995,587.3000000000001
NJ,78,415,0,1,0,1.0,1.0,378,73.17999999999999,732.3
TX,82,408,0,4,0,1.0,1.0,259,62.34,614.7
AR,163,408,0,1,0,1.0,1.0,327,62.46,615.1
AL,91,510,0,3,0,1.0,1.0,328,50.95,561.6000000000001
NY,75,415,21,5,0,1.0,1.0,341,60.49999999999999,636.0999999999999
FL,91,510,0,3,0,1.0,1.0,351,64.42999999999999,620.8
AK,127,510,36,1,0,1.0,1.0,272,56.790000000000006,584.5
NV,113,415,23,2,0,1.0,1.0,225,57.660000000000004,525.8000000000001
DE,110,510,0,1,0,1.0,1.0,314,60.8,630.9
MD,120,415,39,0,0,1.0,1.0,285,67.04,685.0
MI,157,415,28,3,0,1.0,1.0,325,56.14,504.6
VT,103,510,0,1,0,1.0,1.0,231,70.71,654.2
VT,117,408,0,2,1,1.0,1.0,312,58.53,608.1
MI,140,415,0,3,0,1.0,1.0,299,61.86,516.6999999999999
WA,127,408,0,1,0,1.0,1.0,282,55.09,567.3000000000001
UT,83,408,0,1,0,1.0,1.0,322,73.16,620.6
LA,121,408,0,1,0,1.0,1.0,327,58.989999999999995,570.0
RI,145,408,43,2,0,1.0,1.0,282,73.5,717.8
IA,113,408,0,1,0,1.0,1.0,297,62.38,598.1
NE,117,415,0,1,0,1.0,1.0,322,51.239999999999995,618.6
OH,65,408,0,1,0,1.0,1.0,325,57.60000000000001,580.3
RI,56,415,0,1,0,1.0,1.0,383,67.72000000000001,621.9
OK,96,415,0,5,0,1.0,1.0,252,71.92,687.4
